grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, A*, manhattan, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 55, 43, 4316380, 1.051142, 4.10637e+06
X, A*, manhattan, 15puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 53, 41, 6759421, 1.740344, 3.88396e+06
X, A*, manhattan, 15puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 56, 42, 7024801, 1.738053, 4.04176e+06
X, A*, manhattan, 15puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 56, 42, 25844015, 6.766007, 3.81968e+06
X, A*, manhattan, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 52, 36, 8101071, 2.194430, 3.69165e+06
X, A*, manhattan, 15puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 50, 32, 16375274, 4.336427, 3.77621e+06
X, A*, manhattan, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 52, 30, 18472104, 4.754661, 3.88505e+06
X, A*, manhattan, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 46, 32, 934900, 0.216704, 4.31418e+06
X, A*, manhattan, 15puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 57, 43, 8981760, 2.179257, 4.12148e+06
X, A*, manhattan, 15puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", na, 43, na, na, na
X, A*, manhattan, 15puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 45, 35, 297667, 0.065668, 4.53291e+06
X, A*, manhattan, 15puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 46, 36, 3069039, 0.686658, 4.46953e+06
X, A*, manhattan, 15puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 42, 24, 3271314, 0.838138, 3.90307e+06
X, A*, manhattan, 15puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", na, 46, na, na, na
X, A*, manhattan, 15puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", na, 44, na, na, na
X, A*, manhattan, 15puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 46, 36, 743618, 0.157651, 4.71686e+06
X, A*, manhattan, 15puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13 ", 55, 43, 7707538, 1.911388, 4.03243e+06
X, A*, manhattan, 15puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0 ", 52, 36, 11803341, 2.846181, 4.14708e+06
X, A*, manhattan, 15puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12 ", 49, 33, 6455737, 1.604782, 4.02281e+06
X, A*, manhattan, 15puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2 ", 54, 34, 31583210, 8.407157, 3.75671e+06
X, A*, manhattan, 15puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6 ", na, 41, na, na, na
X, A*, manhattan, 15puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0 ", 54, 34, 15140714, 3.853204, 3.92938e+06
X, A*, manhattan, 15puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12 ", 52, 32, 16709023, 4.211469, 3.96750e+06
X, A*, manhattan, 15puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11 ", na, 40, na, na, na
X, A*, manhattan, 15puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7 ", 52, 36, 3417805, 0.839479, 4.07134e+06
X, A*, manhattan, 15puzzle, "9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12 ", 54, 38, 13983946, 3.479500, 4.01895e+06
X, A*, manhattan, 15puzzle, "14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11 ", na, 33, na, na, na
X, A*, manhattan, 15puzzle, "12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11 ", 47, 35, 1038802, 0.234708, 4.42593e+06
X, A*, manhattan, 15puzzle, "12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10 ", 50, 38, 1684490, 0.406652, 4.14234e+06
X, A*, manhattan, 15puzzle, "14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15 ", na, 43, na, na, na
X, A*, manhattan, 15puzzle, "6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15 ", 52, 36, 11602308, 2.816933, 4.11877e+06
X, A*, manhattan, 15puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10 ", 55, 39, 29904322, 8.033828, 3.72230e+06
X, A*, manhattan, 15puzzle, "14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8 ", na, 42, na, na, na
X, A*, manhattan, 15puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 49, 35, 3731444, 0.890685, 4.18941e+06
X, A*, manhattan, 15puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 52, 36, 7488003, 1.818224, 4.11831e+06
X, A*, manhattan, 15puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", na, 40, na, na, na
X, A*, manhattan, 15puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 42, 30, 235895, 0.046225, 5.10319e+06
