grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, A*, pdb, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 55, 43, 792814, 0.290121, 2.73270e+06
X, A*, pdb, 15puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 53, 43, 1592690, 0.654671, 2.43281e+06
X, A*, pdb, 15puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 57, 43, 8595071, 3.365588, 2.55381e+06
X, A*, pdb, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 56, 42, 3349260, 1.322042, 2.53340e+06
X, A*, pdb, 15puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 56, 42, 4114140, 1.631822, 2.52119e+06
X, A*, pdb, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 59, 41, 35618557, 14.341895, 2.48353e+06
X, A*, pdb, 15puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 50, 32, 3828358, 1.581450, 2.42079e+06
X, A*, pdb, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 52, 36, 4110756, 1.674366, 2.45511e+06
X, A*, pdb, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 52, 34, 6173222, 2.465778, 2.50356e+06
X, A*, pdb, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 46, 36, 215800, 0.077672, 2.77835e+06
X, A*, pdb, 15puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 57, 43, 7320625, 3.027400, 2.41812e+06
X, A*, pdb, 15puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 59, 45, 8601798, 3.358286, 2.56137e+06
X, A*, pdb, 15puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 45, 35, 122075, 0.039040, 3.12692e+06
X, A*, pdb, 15puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 46, 36, 1569241, 0.561867, 2.79290e+06
X, A*, pdb, 15puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 59, 43, 13146925, 5.253656, 2.50243e+06
X, A*, pdb, 15puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 42, 26, 1039081, 0.389555, 2.66735e+06
X, A*, pdb, 15puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 62, 44, 51840923, 22.422966, 2.31196e+06
X, A*, pdb, 15puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 66, 46, 66856594, 29.386632, 2.27507e+06
X, A*, pdb, 15puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 46, 38, 425471, 0.152205, 2.79538e+06
