grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, IDA*, manhattan, 15Puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 55, 43, 15805892, 0.757867, 2.08558e+07
X, IDA*, manhattan, 15Puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 53, 41, 18910185, 0.902204, 2.09600e+07
X, IDA*, manhattan, 15Puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 57, 41, 388009342, 18.093548, 2.14446e+07
X, IDA*, manhattan, 15Puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 56, 42, 11433733, 0.543080, 2.10535e+07
X, IDA*, manhattan, 15Puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 56, 42, 153904609, 7.103810, 2.16651e+07
X, IDA*, manhattan, 15Puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 59, 41, 531541734, 24.636519, 2.15754e+07
X, IDA*, manhattan, 15Puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 52, 36, 28049039, 1.339370, 2.09420e+07
X, IDA*, manhattan, 15Puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 50, 32, 40650651, 1.898578, 2.14111e+07
X, IDA*, manhattan, 15Puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 52, 30, 384235864, 17.690359, 2.17201e+07
X, IDA*, manhattan, 15Puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 46, 32, 1781876, 0.087978, 2.02537e+07
X, IDA*, manhattan, 15Puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 57, 43, 141357834, 6.601581, 2.14127e+07
X, IDA*, manhattan, 15Puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 59, 43, 206356883, 9.503781, 2.17131e+07
X, IDA*, manhattan, 15Puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 45, 35, 631261, 0.030909, 2.04232e+07
X, IDA*, manhattan, 15Puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 46, 36, 20660281, 0.951795, 2.17067e+07
X, IDA*, manhattan, 15Puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 59, 41, 1127342712, 52.451260, 2.14931e+07
X, IDA*, manhattan, 15Puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 42, 24, 17978052, 0.864353, 2.07994e+07
X, IDA*, manhattan, 15Puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 62, 44, 519610665, 23.884716, 2.17549e+07
X, IDA*, manhattan, 15Puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 66, 46, 2459171877, 114.436759, 2.14894e+07
X, IDA*, manhattan, 15Puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 46, 36, 1373047, 0.065126, 2.10829e+07
X, IDA*, manhattan, 15Puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13 ", 55, 43, 6356370, 0.295082, 2.15410e+07
X, IDA*, manhattan, 15Puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0 ", 52, 36, 24363351, 1.113324, 2.18834e+07
X, IDA*, manhattan, 15Puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12 ", 49, 33, 15118398, 0.730713, 2.06899e+07
X, IDA*, manhattan, 15Puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2 ", 54, 34, 72357217, 3.478614, 2.08006e+07
X, IDA*, manhattan, 15Puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6 ", 59, 41, 796844943, 36.782988, 2.16634e+07
X, IDA*, manhattan, 15Puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0 ", 54, 34, 56825333, 2.688396, 2.11373e+07
X, IDA*, manhattan, 15Puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12 ", 52, 32, 116386655, 5.449337, 2.13579e+07
X, IDA*, manhattan, 15Puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11 ", 58, 40, 226102436, 10.598933, 2.13326e+07
X, IDA*, manhattan, 15Puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7 ", 52, 36, 7180698, 0.342773, 2.09488e+07
X, IDA*, manhattan, 15Puzzle, "9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12 ", 54, 38, 90146636, 4.190136, 2.15140e+07
