grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, IDA*, PDB5+5+5, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 55, 43, 1115677, 0.174225, 6.40366e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 53, 43, 3747103, 0.558907, 6.70434e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 57, 43, 51837590, 7.664182, 6.76362e+06
X, IDA*, PDB5+5+5, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 56, 42, 3954846, 0.588756, 6.71729e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 56, 42, 20679745, 3.084034, 6.70542e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 59, 41, 118465392, 17.094622, 6.92998e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 50, 32, 14082845, 2.179155, 6.46253e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 52, 36, 14925632, 2.405303, 6.20530e+06
X, IDA*, PDB5+5+5, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 52, 34, 29552270, 4.500180, 6.56691e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 46, 36, 175773, 0.032489, 5.41023e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 59, 45, 27574736, 5.904423, 4.67018e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 57, 43, 38394499, 7.554820, 5.08212e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 45, 35, 358570, 0.055311, 6.48280e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 46, 36, 10676155, 1.527056, 6.99133e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 59, 43, 32648985, 4.690555, 6.96058e+06
X, IDA*, PDB5+5+5, 15puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 42, 26, 5712876, 0.842458, 6.78120e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 62, 44, 204397557, 30.356859, 6.73316e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 66, 46, 615977338, 90.376929, 6.81565e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 46, 38, 404283, 0.058417, 6.92064e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13 ", 55, 43, 2014515, 0.295322, 6.82142e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0 ", 52, 36, 10452716, 1.504607, 6.94714e+06
X, IDA*, PDB5+5+5, 15puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12 ", 49, 37, 1149077, 0.169082, 6.79597e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2 ", 54, 38, 19555951, 2.856396, 6.84637e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6 ", 59, 43, 201668526, 28.949771, 6.96615e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12 ", 52, 36, 18192359, 2.677683, 6.79407e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0 ", 54, 36, 18912973, 2.826728, 6.69077e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11 ", 58, 40, 50832054, 7.406151, 6.86349e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7 ", 52, 36, 2721397, 0.401866, 6.77190e+06
X, IDA*, PDB5+5+5, 15puzzle, "9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12 ", 54, 40, 8918075, 1.294016, 6.89178e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11 ", 53, 35, 44673379, 6.416549, 6.96221e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11 ", 47, 35, 804381, 0.120622, 6.66861e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10 ", 50, 40, 1355686, 0.199417, 6.79825e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15 ", 59, 43, 199397239, 28.699431, 6.94778e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15 ", 52, 40, 1331136, 0.203127, 6.55322e+06
X, IDA*, PDB5+5+5, 15puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10 ", 55, 39, 27182609, 3.924127, 6.92705e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8 ", 60, 44, 152166131, 22.377971, 6.79982e+06
X, IDA*, PDB5+5+5, 15puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 49, 35, 6521913, 0.964358, 6.76296e+06
X, IDA*, PDB5+5+5, 15puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 58, 42, 14145209, 2.097611, 6.74349e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 52, 36, 22292338, 3.291571, 6.77255e+06
X, IDA*, PDB5+5+5, 15puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 42, 32, 152948, 0.023323, 6.55782e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 54, 38, 10485456, 1.520308, 6.89693e+06
X, IDA*, PDB5+5+5, 15puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 54, 38, 13367503, 1.963015, 6.80968e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 51, 39, 7025953, 1.064271, 6.60166e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 50, 34, 15806094, 2.458704, 6.42863e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 64, 48, 19527586, 3.024820, 6.45578e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 47, 37, 129790, 0.020856, 6.22315e+06
X, IDA*, PDB5+5+5, 15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 49, 41, 244374, 0.037044, 6.59686e+06
X, IDA*, PDB5+5+5, 15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 49, 35, 2516749, 0.368903, 6.82225e+06
X, IDA*, PDB5+5+5, 15puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 56, 44, 3379539, 0.507449, 6.65986e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 53, 41, 4422733, 0.666476, 6.63600e+06
X, IDA*, PDB5+5+5, 15puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", 59, 39, 138411761, 20.095843, 6.88758e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 56, 42, 34054818, 5.083354, 6.69928e+06
X, IDA*, PDB5+5+5, 15puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 56, 44, 44483216, 6.402746, 6.94752e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", 64, 52, 55533339, 8.295091, 6.69472e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 41, 29, 227852, 0.034822, 6.54333e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 50, 38, 700301, 0.100402, 6.97497e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", 55, 29, 629050071, 89.931211, 6.99479e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 51, 37, 2780116, 0.410083, 6.77940e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", 57, 39, 106457932, 15.435479, 6.89696e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", 66, 48, 535224198, 78.788852, 6.79315e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 45, 33, 1096334, 0.163544, 6.70360e+06
X, IDA*, PDB5+5+5, 15puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", 56, 42, 12754174, 2.068192, 6.16682e+06
X, IDA*, PDB5+5+5, 15puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 57, 43, 34762785, 5.038235, 6.89979e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 47, 33, 4176290, 0.620629, 6.72912e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 51, 33, 22471558, 3.335785, 6.73651e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", 61, 43, 516656272, 74.188649, 6.96409e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 51, 31, 19659683, 2.977624, 6.60247e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 53, 37, 43238669, 6.193777, 6.98099e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 50, 30, 52969830, 7.693903, 6.88465e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 44, 32, 612034, 0.090468, 6.76520e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 52, 32, 42566962, 6.102807, 6.97498e+06
