grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 57, 61, 122078, 0.010247, 1.19135e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 61, 61, 1699425, 0.087296, 1.94674e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 63, 64, 1766521, 0.087490, 2.01911e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 60, 63, 193214, 0.009658, 2.00056e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 62, 63, 928802, 0.050367, 1.84407e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 61, 61, 9011884, 0.440676, 2.04501e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 58, 54, 600414, 0.030892, 1.94359e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 54, 45, 1822315, 0.089624, 2.03329e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 54, 48, 2356604, 0.115382, 2.04244e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 48, 48, 37691, 0.002394, 1.57439e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 59, 64, 8634, 0.001071, 8.06162e+06
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 61, 64, 586909, 0.034962, 1.67871e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 51, 52, 42078, 0.002577, 1.63283e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 50, 54, 2037186, 0.103143, 1.97511e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 63, 61, 118188951, 5.784038, 2.04336e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 66, 66, 995152, 0.057827, 1.72091e+07
