grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 75, 82, 52902, 0.006396, 8.27111e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 81, 86, 65968, 0.004781, 1.37980e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 73, 82, 292921, 0.017272, 1.69593e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 70, 84, 3056, 0.000562, 5.43772e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 77, 82, 130601, 0.014000, 9.32864e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 74, 84, 788700, 0.045088, 1.74925e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 68, 72, 135951, 0.006956, 1.95444e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 58, 60, 258819, 0.014367, 1.80148e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 62, 64, 360539, 0.021681, 1.66293e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 77, 86, 5996, 0.000361, 1.66094e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 77, 86, 31686, 0.002153, 1.47171e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 58, 64, 223279, 0.013700, 1.62977e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 65, 70, 6292, 0.000411, 1.53090e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 82, 88, 49708, 0.003257, 1.52619e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 62, 72, 114610, 0.007031, 1.63007e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 75, 82, 1124312, 0.060994, 1.84332e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 84, 92, 206279, 0.010724, 1.92353e+07
