grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 61, 64, 8151, 0.001505, 5.41595e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 55, 64, 39733, 0.006586, 6.03295e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 61, 64, 34535, 0.005474, 6.30891e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 60, 63, 41630, 0.006430, 6.47434e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 60, 63, 138787, 0.020169, 6.88120e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 63, 61, 336019, 0.051975, 6.46501e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 56, 51, 27495, 0.004567, 6.02036e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 54, 54, 169581, 0.027991, 6.05841e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 56, 48, 1174465, 0.177922, 6.60101e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 50, 54, 10851, 0.002386, 4.54778e+06
