grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 77, 86, 6202, 0.001375, 4.51055e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 81, 86, 21902, 0.004057, 5.39857e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 73, 86, 30756, 0.005130, 5.99532e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 75, 82, 2946, 0.000799, 3.68711e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 78, 84, 15578, 0.002849, 5.46788e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 78, 84, 171554, 0.024467, 7.01165e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 64, 68, 1506, 0.000376, 4.00532e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 66, 72, 28401, 0.005633, 5.04190e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 62, 64, 37431, 0.006072, 6.16453e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 62, 72, 63240, 0.011903, 5.31295e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 73, 86, 4996, 0.001196, 4.17726e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 79, 90, 10720, 0.002541, 4.21881e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 63, 70, 2743, 0.000749, 3.66222e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 64, 72, 9225, 0.001640, 5.62500e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 81, 86, 2143, 0.000422, 5.07820e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 82, 88, 2456, 0.000671, 3.66021e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 90, 92, 106959, 0.015764, 6.78502e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 44, 52, 185855, 0.027097, 6.85888e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 68, 76, 33771, 0.005855, 5.76789e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13 ", 77, 86, 5218, 0.001339, 3.89694e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0 ", 68, 72, 18417, 0.002831, 6.50548e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12 ", 65, 74, 1670, 0.000337, 4.95549e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2 ", 66, 76, 15280, 0.003069, 4.97882e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6 ", 81, 86, 22647, 0.003924, 5.77141e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0 ", 66, 72, 2269, 0.000520, 4.36346e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12 ", 62, 72, 6364, 0.001225, 5.19510e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11 ", 66, 80, 40048, 0.006007, 6.66689e+06
